Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        6     0.00     0.00  std::__detail::_Select1st const& std::forward<std::__detail::_Select1st const&>(std::remove_reference<std::__detail::_Select1st const&>::type&)
  0.00      0.00     0.00        6     0.00     0.00  std::__detail::_Mod_range_hashing const& std::forward<std::__detail::_Mod_range_hashing const&>(std::remove_reference<std::__detail::_Mod_range_hashing const&>::type&)
  0.00      0.00     0.00        6     0.00     0.00  std::__detail::_Hash_node_base** std::addressof<std::__detail::_Hash_node_base*>(std::__detail::_Hash_node_base*&)
  0.00      0.00     0.00        5     0.00     0.00  __gthread_active_p()
  0.00      0.00     0.00        5     0.00     0.00  rng::BaseRNG::getRandomNumber()
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::pair<unsigned long, unsigned long> const, std::weak_ptr<std::uniform_int_distribution<unsigned long> > > >::new_allocator()
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::pair<unsigned long, unsigned long> const, std::weak_ptr<std::uniform_int_distribution<unsigned long> > > >::~new_allocator()
  0.00      0.00     0.00        5     0.00     0.00  std::_Function_base::_M_empty() const
  0.00      0.00     0.00        5     0.00     0.00  std::_Any_data::_M_access() const
  0.00      0.00     0.00        5     0.00     0.00  SharedUtilityManager<std::pair<unsigned long, unsigned long>, std::uniform_int_distribution<unsigned long> >::makeDeleter(std::pair<unsigned long, unsigned long> const&)::{lambda(std::uniform_int_distribution<unsigned long>*)#1}* const& std::_Any_data::_M_access<SharedUtilityManager<std::pair<unsigned long, unsigned long>, std::uniform_int_distribution<unsigned long> >::makeDeleter(std::pair<unsigned long, unsigned long> const&)::{lambda(std::uniform_int_distribution<unsigned long>*)#1}*>() const
  0.00      0.00     0.00        5     0.00     0.00  std::allocator<std::pair<std::pair<unsigned long, unsigned long> const, std::weak_ptr<std::uniform_int_distribution<unsigned long> > > >::~allocator()
  0.00      0.00     0.00        5     0.00     0.00  std::_Hashtable<std::pair<unsigned long, unsigned long>, std::pair<std::pair<unsigned long, unsigned long> const, std::weak_ptr<std::uniform_int_distribution<unsigned long> > >, std::allocator<std::pair<std::pair<unsigned long, unsigned long> const, std::weak_ptr<std::uniform_int_distribution<unsigned long> > > >, std::__detail::_Select1st, std::equal_to<std::pair<unsigned long, unsigned long> >, std::hash<std::pair<unsigned long, unsigned long> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_allocate_buckets(unsigned long)
  0.00      0.00     0.00        5     0.00     0.00  std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>::operator()()
  0.00      0.00     0.00        5     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<std::pair<unsigned long, unsigned long> const, std::weak_ptr<std::uniform_int_distribution<unsigned long> > >, true> > >::_M_allocate_buckets(unsigned long)
  0.00      0.00     0.00        4     0.00     0.00  void CrossoverPolicy<UniformRandomCrossover>::operator()<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<MutatorKey const, std::weak_ptr<Mutator> >, true> >::~new_allocator()
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::pair<unsigned long, unsigned long> const, std::weak_ptr<std::uniform_int_distribution<unsigned long> > >, true> >::new_allocator()
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::pair<unsigned long, unsigned long> const, std::weak_ptr<std::uniform_int_distribution<unsigned long> > >, true> >::new_allocator(__gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::pair<unsigned long, unsigned long> const, std::weak_ptr<std::uniform_int_distribution<unsigned long> > >, true> > const&)
  0.00      0.00     0.00        4     0.00     0.00  std::_Hashtable<MutatorKey, std::pair<MutatorKey const, std::weak_ptr<Mutator> >, std::allocator<std::pair<MutatorKey const, std::weak_ptr<Mutator> > >, std::__detail::_Select1st, std::equal_to<MutatorKey>, std::hash<MutatorKey>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_uses_single_bucket(std::__detail::_Hash_node_base**) const
  0.00      0.00     0.00        4     0.00     0.00  std::_Hashtable<MutatorKey, std::pair<MutatorKey const, std::weak_ptr<Mutator> >, std::allocator<std::pair<MutatorKey const, std::weak_ptr<Mutator> > >, std::__detail::_Select1st, std::equal_to<MutatorKey>, std::hash<MutatorKey>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_begin() const
  0.00      0.00     0.00        4     0.00     0.00  std::function<void (std::uniform_int_distribution<unsigned long>*)>::operator bool() const
  0.00      0.00     0.00        4     0.00     0.00  std::allocator<std::__detail::_Hash_node<std::pair<MutatorKey const, std::weak_ptr<Mutator> >, true> >::~allocator()
  0.00      0.00     0.00        4     0.00     0.00  std::allocator<std::__detail::_Hash_node<std::pair<std::pair<unsigned long, unsigned long> const, std::weak_ptr<std::uniform_int_distribution<unsigned long> > >, true> >::allocator(std::allocator<std::__detail::_Hash_node<std::pair<std::pair<unsigned long, unsigned long> const, std::weak_ptr<std::uniform_int_distribution<unsigned long> > >, true> > const&)
  0.00      0.00     0.00        4     0.00     0.00  std::allocator<std::__detail::_Hash_node<std::pair<std::pair<unsigned long, unsigned long> const, std::weak_ptr<std::uniform_int_distribution<unsigned long> > >, true> >::allocator<std::pair<std::pair<unsigned long, unsigned long> const, std::weak_ptr<std::uniform_int_distribution<unsigned long> > > >(std::allocator<std::pair<std::pair<unsigned long, unsigned long> const, std::weak_ptr<std::uniform_int_distribution<unsigned long> > > > const&)
  0.00      0.00     0.00        4     0.00     0.00  std::allocator<std::__detail::_Hash_node_base*>::allocator<std::__detail::_Hash_node<std::pair<MutatorKey const, std::weak_ptr<Mutator> >, true> >(std::allocator<std::__detail::_Hash_node<std::pair<MutatorKey const, std::weak_ptr<Mutator> >, true> > const&)
  0.00      0.00     0.00        4     0.00     0.00  std::allocator<std::pair<std::pair<unsigned long, unsigned long> const, std::weak_ptr<std::uniform_int_distribution<unsigned long> > > >::allocator()
  0.00      0.00     0.00        4     0.00     0.00  std::_Hashtable<std::pair<unsigned long, unsigned long>, std::pair<std::pair<unsigned long, unsigned long> const, std::weak_ptr<std::uniform_int_distribution<unsigned long> > >, std::allocator<std::pair<std::pair<unsigned long, unsigned long> const, std::weak_ptr<std::uniform_int_distribution<unsigned long> > > >, std::__detail::_Select1st, std::equal_to<std::pair<unsigned long, unsigned long> >, std::hash<std::pair<unsigned long, unsigned long> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::clear()
  0.00      0.00     0.00        4     0.00     0.00  std::_Hashtable<std::pair<unsigned long, unsigned long>, std::pair<std::pair<unsigned long, unsigned long> const, std::weak_ptr<std::uniform_int_distribution<unsigned long> > >, std::allocator<std::pair<std::pair<unsigned long, unsigned long> const, std::weak_ptr<std::uniform_int_distribution<unsigned long> > > >, std::__detail::_Select1st, std::equal_to<std::pair<unsigned long, unsigned long> >, std::hash<std::pair<unsigned long, unsigned long> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_Hashtable(unsigned long, std::hash<std::pair<unsigned long, unsigned long> > const&, std::__detail::_Mod_range_hashing const&, std::__detail::_Default_ranged_hash const&, std::equal_to<std::pair<unsigned long, unsigned long> > const&, std::__detail::_Select1st const&, std::allocator<std::pair<std::pair<unsigned long, unsigned long> const, std::weak_ptr<std::uniform_int_distribution<unsigned long> > > > const&)
  0.00      0.00     0.00        4     0.00     0.00  std::_Hashtable<std::pair<unsigned long, unsigned long>, std::pair<std::pair<unsigned long, unsigned long> const, std::weak_ptr<std::uniform_int_distribution<unsigned long> > >, std::allocator<std::pair<std::pair<unsigned long, unsigned long> const, std::weak_ptr<std::uniform_int_distribution<unsigned long> > > >, std::__detail::_Select1st, std::equal_to<std::pair<unsigned long, unsigned long> >, std::hash<std::pair<unsigned long, unsigned long> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_Hashtable(unsigned long, std::hash<std::pair<unsigned long, unsigned long> > const&, std::equal_to<std::pair<unsigned long, unsigned long> > const&, std::allocator<std::pair<std::pair<unsigned long, unsigned long> const, std::weak_ptr<std::uniform_int_distribution<unsigned long> > > > const&)
  0.00      0.00     0.00        4     0.00     0.00  std::_Hashtable<std::pair<unsigned long, unsigned long>, std::pair<std::pair<unsigned long, unsigned long> const, std::weak_ptr<std::uniform_int_distribution<unsigned long> > >, std::allocator<std::pair<std::pair<unsigned long, unsigned long> const, std::weak_ptr<std::uniform_int_distribution<unsigned long> > > >, std::__detail::_Select1st, std::equal_to<std::pair<unsigned long, unsigned long> >, std::hash<std::pair<unsigned long, unsigned long> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::~_Hashtable()
  0.00      0.00     0.00        4     0.00     0.00  std::__shared_ptr<std::uniform_int_distribution<unsigned long>, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
